ch1,ch2,ch3,ch4,t
-146.98554805852473,-312.56026884680614,-304.4764750925824,-391.74517060862854,0.715
-159.28233911283314,-309.29159628553316,-283.04684834647924,-391.6853322093375,0.72
-134.78973430301994,-321.2181372442283,-313.42605568654835,-399.63635951513425,0.725
-159.65258920844644,-324.38209260674194,-323.6434623654932,-401.23329679621384,0.73
-165.06422444432974,-324.2100572087802,-318.1570291304961,-403.462277169805,0.735
-157.49840683396906,-333.70940309623256,-321.46310069132596,-414.53612093860283,0.74
-166.9266946222633,-310.11437427578494,-278.37945320177823,-391.0196300172247,0.745
-175.47610592097044,-317.4183988892473,-300.86747163534164,-393.5291028874926,0.75
-162.19572117831558,-333.60842579742894,-322.3718963805586,-404.52066885726526,0.755
-161.94140798132867,-336.3684719647281,-340.8731814613566,-425.4080101097934,0.76
-125.55966121237725,-308.6932122926228,-311.05121921468526,-393.2822694904171,0.765
-164.84731024689972,-309.37013418460265,-301.6528506260365,-391.00093051744625,0.77
-146.5180605640635,-311.22512456262484,-288.5071022817865,-383.07608251133934,0.775
-180.21455916482955,-337.4455631519668,-331.714166469872,-429.97816785564646,0.78
-156.13334335014224,-319.6249398631044,-314.76867977064103,-406.4018385349773,0.785
-180.94383965618908,-326.45773708214983,-315.9355285568163,-404.6515653557144,0.79
-142.27701401431113,-316.19545160373673,-319.2266405178234,-395.2831159667112,0.795
-152.4420620938763,-313.4204458366148,-290.41071135923266,-392.8073021960445,0.8
-147.1800228562206,-305.6863327282481,-290.08907996304333,-386.939399165567,0.805
-153.49297398142517,-316.3600072017871,-304.71208878979087,-394.8679870716296,0.81
-170.10934948455542,-338.7358286366798,-331.9348205672577,-415.15320443129167,0.815
-164.67901474889368,-329.19160394975916,-319.39867591578513,-415.100845831912,0.82
-152.2550670960918,-318.40573247754946,-308.3584912465885,-399.56156151602045,0.825
-169.75405898876488,-336.1739971670322,-317.5885643372312,-409.1469251024537,0.83
-128.52166197728366,-298.95451280800626,-295.15290450304747,-372.95965313119814,0.835
-142.79312020819634,-320.52625575242564,-297.5875793742016,-401.2519962959923,0.84
-161.0400920920074,-305.8209691266529,-285.53014191705734,-393.9442317825742,0.845
-148.9265561355278,-316.03463590564206,-308.23507454805076,-396.4350051530637,0.85
-148.94899553526193,-321.77538233762607,-307.6217309553176,-399.5727812158875,0.855
-163.86371655855328,-319.2733892672695,-299.850218847394,-405.1003533503972,0.86
-171.13408207241446,-337.34084595320746,-324.21566705871373,-418.4480562922545,0.865
-156.12586355023086,-321.30041504325345,-314.2226543771103,-396.99599014641717,0.87
-153.87070387694985,-319.7670560614206,-312.1058710021898,-402.07851418619975,0.875
-169.97845298610628,-327.14961857395247,-313.5831314846873,-411.7386757717468,0.88
-157.68914173170924,-318.495490076486,-295.5156747987494,-404.2439162605442,0.885
-149.4090032298118,-326.0987066864036,-306.13325077295303,-401.581107492093,0.89
-172.69736025389284,-327.2917347722687,-297.61001877393574,-403.52211556909606,0.895
-151.01716021075845,-321.7566828378476,-308.2911730473861,-403.08828717423603,0.9
-132.45229683071375,-315.0847013168968,-314.76119997072965,-402.70681737875566,0.905
-154.1848554732278,-310.5295031708665,-302.67384331393987,-394.89416637131944,0.91
-171.25375887099653,-324.56908760452643,-311.35789101105183,-408.6981371077709,0.915
-121.92073855549097,-301.598622076679,-280.59721387550235,-382.3168828203343,0.92
-202.06679460592568,-351.2196146887727,-347.07767548784614,-433.7891259104945,0.925
-158.90460921730846,-311.5766751584597,-313.7888259822503,-391.37118061305955,0.93
-175.21057302411646,-330.9231776292436,-311.0100803151727,-408.9599301046692,0.935
-121.44203136116266,-306.95415881322697,-290.97543625254184,-390.55962232267484,0.94
-201.70402431022376,-341.93344309879467,-332.6454015588388,-436.2163209817372,0.945
-178.46802588552237,-334.30404718918726,-332.1891337642446,-421.3763979575597,0.95
-160.1836550021544,-327.7966212662868,-324.32412415742874,-407.8379601179622,0.955
-170.5282182795927,-309.73290448030457,-280.1746051805094,-396.5771213513799,0.96
-155.06373196281493,-326.9813230759464,-307.8835239522159,-404.9208381525241,0.965
-179.84430906921625,-333.97867589304224,-311.05495911464095,-412.4455168633722,0.97
-210.6162059046328,-376.66589398728684,-359.55772163998336,-444.1860477873124,0.975
-217.5462405225262,-381.8643549256958,-381.7016692776233,-448.62530903471634,0.98
-230.67702926695347,-369.3132506744005,-360.1785450326279,-435.20654799370095,0.985
-209.03422822337598,-355.61025723675266,-341.6847397517413,-428.05585927842185,0.99
-213.41365107148886,-361.99426646111533,-345.40968010760844,-432.7718731225468,0.995
-218.4026776123792,-364.6421156297438,-358.71250424999744,-430.4456553501077,1.0
-207.06704084668308,-357.4016693155281,-353.9553515063599,-426.5860785958357,1.005
-216.77956103160977,-372.4846858368255,-356.30026877857745,-437.17747527034953,1.01
