frequency,Rmax,R_ratio,time
15.0,0.3559109805390772,0.6291350936379756,21:33:31
6.0,0.32027208302760385,0.8264101665317087,21:33:33
15.0,0.42840613848694925,0.652091257737558,21:33:35
15.0,0.3852276935313652,0.8523940414952649,21:33:37
15.0,0.35127494478989896,0.8902736435352697,21:33:39
15.0,0.3346276233444974,0.9356775841134739,21:33:41
7.5,0.34938288772920295,0.991198401874931,21:33:44
6.666666666666667,0.2573338557046139,0.9291304635904735,21:33:46
15.0,0.35615052357594196,0.84890509976842,21:33:48
15.0,0.46225808155661186,0.5208168251400181,21:33:50
15.0,0.3513627574996897,0.6614729683721022,21:33:52
15.0,0.3217688996147386,0.740224986100228,21:33:54
15.0,0.3439023507008242,0.9286155247355259,21:33:56
12.0,0.30298720166380244,0.9267656582850242,21:33:58
7.5,0.2921453389770704,0.9874985192051149,21:34:00
6.666666666666667,0.34233644951328523,0.7520549816177617,21:34:02
6.0,0.26765012392063203,0.8117451971088805,21:34:04
12.0,0.27849878557799984,0.9924562938080204,21:34:06
6.0,0.39313425698336524,0.9868415203052602,21:34:08
12.0,0.426676701868118,0.5185903375845332,21:34:10
10.0,0.24475151032106202,0.9899193792601069,21:34:12
7.5,0.26702276541921377,0.9737360338614298,21:34:14
6.666666666666667,0.3273666403073335,0.9579976882769099,21:34:16
10.0,0.27709139190292026,0.9032640219342328,21:34:18
8.571428571428571,0.41679728878709127,0.7473052017908385,21:34:20
7.5,0.24122553593036428,0.8661759724609354,21:34:22
10.0,0.30412267025668976,0.878712735144932,21:34:24
10.0,0.3193907758685346,0.7090197762628808,21:34:26
10.0,0.34466816740956036,0.866957550142353,21:34:28
10.0,0.3030625784235563,0.9679944434220419,21:34:30
10.0,0.3912243826426866,0.7359054564529627,21:34:32
10.0,0.30700752699824396,0.6101220345597329,21:34:34
10.0,0.345223971577746,0.7093821862149277,21:34:36
12.0,0.2524245668279383,0.8898490217619518,21:34:38
8.571428571428571,0.3153096715626279,0.7459189972402307,21:34:40
6.666666666666667,0.34048979273085384,0.8437865809622155,21:34:42
20.0,0.3647328406469269,0.7065874568584418,21:34:44
12.0,0.526906517905334,0.48647622491929465,21:34:46
12.0,0.5050783482595459,0.5687237318202685,21:34:48
6.666666666666667,0.3303503187657548,0.9401352757504807,21:34:50
12.0,0.49840425021965395,0.744349368512349,21:34:52
12.0,0.6308242430657105,0.40914834676967743,21:34:54
12.0,0.3552264261551667,0.7350716757028489,21:34:56
12.0,0.291911799656759,0.965797072873634,21:34:58
12.0,0.4765855484048149,0.6185096476702258,21:35:00
12.0,0.4306772271325327,0.5452766087271235,21:35:02
12.0,0.4897874099537269,0.4580617883090791,21:35:04
12.0,0.46365658763523876,0.7074809857873866,21:35:06
